"UniProt1","UniProt2","symbol1","symbol2","evidence type"
"A1A4Y4","O95786","IRGM","DDX58","exp"
"A1A4Y4","O75385","IRGM","ULK1","exp"
"A1A4Y4","Q9Y239","IRGM","NOD1","exp"
"A1A4Y4","Q9NP85","IRGM","NPHS2","ortho"
"A1A4Y4","A1A4Y4","IRGM","IRGM","exp"
"A1A4Y4","Q9C0C7","IRGM","AMBRA1","exp"
"A1A4Y4","O15455","IRGM","TLR3","exp"
"A1A4Y4","Q9H2F3","IRGM","HSD3B7","ortho"
"A1A4Y4","Q14457","IRGM","BECN1","exp"
"A1A4Y4","P62258","IRGM","YWHAE","ortho"
"A1A4Y4","Q9HC29","IRGM","NOD2","exp"
"A1A4Y4","Q676U5","IRGM","ATG16L1","exp"
"A1A4Y4","Q6ZNE5","IRGM","ATG14","exp"
"A1X283","P48023","SH3PXD2B","FASLG","exp"
"A1X283","Q7Z699","SH3PXD2B","SPRED1","pred"
"A4D1Z8","O00182","GRIFIN","LGALS9","pred"
"A5PKW4","O95267","PSD","RASGRP1","pred"
"A6NCE7","Q676U5","MAP1LC3B2","ATG16L1","pred"
"A6NJZ7","P48023","RIMBP3C","FASLG","exp"
"A6NK59","O95267","ASB14","RASGRP1","pred"
"A7E2V4","P35228","ZSWIM8","NOS2","exp"
"A7KAX9","Q8N103","ARHGAP32","TAGAP","pred"
"B0I1T2","Q92619","MYO1G","ARHGAP45","pred"
"B4DDF7","Q8IV20","cDNA FLJ53296, highly similar to Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform","LACC1","exp"
"B4DKR1","Q8IV20","MICOS complex subunit MIC60","LACC1","exp"
"B7Z3V1","Q8IV20","Sodium/potassium-transporting ATPase subunit alpha","LACC1","exp"
"D6RBN7","O43353","-","RIPK2","pred"
"F8W9D5","P40189","-","IL6ST","pred"
"O00116","Q676U5","AGPS","ATG16L1","exp"
"O00159","O43353","MYO1C","RIPK2","pred"
"O00160","Q92619","MYO1F","ARHGAP45","pred"
"O00165","Q9Y2R2","HAX1","PTPN22","exp"
"O00182","P54802","LGALS9","NAGLU","exp"
"O00182","O00214","LGALS9","LGALS8","exp;pred"
"O00182","P55160","LGALS9","NCKAP1L","pred"
"O00182","O60504","LGALS9","SORBS3","pred"
"O00182","P01023","LGALS9","A2M","exp"
"O00182","Q9UHW9","LGALS9","SLC12A6","exp"
"O00182","Q6UVK1","LGALS9","CSPG4","exp"
"O00182","Q02643","LGALS9","GHRHR","pred"
"O00182","Q16363","LGALS9","LAMA4","exp"
"O00182","P02746","LGALS9","C1QB","pred"
"O00182","P43405","LGALS9","SYK","pred"
"O00182","P55082","LGALS9","MFAP3","exp"
"O00182","P14923","LGALS9","JUP","exp;pred"
"O00182","O95297","LGALS9","MPZL1","exp"
"O00182","Q9H2S9","LGALS9","IKZF4","pred"
"O00182","P31641","LGALS9","SLC6A6","exp"
"O00182","Q96KB5","LGALS9","PBK","exp"
"O00182","P02745","LGALS9","C1QA","pred"
"O00182","Q5ZPR3","LGALS9","CD276","exp"
"O00182","Q15084","LGALS9","PDIA6","exp"
"O00182","Q9UBG0","LGALS9","MRC2","exp"
"O00182","P07948","LGALS9","LYN","pred"
"O00182","Q3ZCW2","LGALS9","LGALSL","pred"
"O00182","Q8IZA0","LGALS9","KIAA0319L","exp"
"O00182","P04233","LGALS9","CD74","pred"
"O00182","Q99808","LGALS9","SLC29A1","exp"
"O00182","Q9HB90","LGALS9","RRAGC","exp"
"O00182","Q9NQ36","LGALS9","SCUBE2","pred"
"O00182","Q8TDQ0","LGALS9","HAVCR2","exp;pred"
"O00182","Q15758","LGALS9","SLC1A5","exp"
"O00182","P14317","LGALS9","HCLS1","pred"
"O00182","Q06187","LGALS9","BTK","pred"
"O00182","P19438","LGALS9","TNFRSF1A","pred"
"O00182","Q13740","LGALS9","ALCAM","exp"
"O00182","Q9HCM3","LGALS9","KIAA1549","exp"
"O00182","P04114","LGALS9","APOB","exp"
"O00182","Q9HC56","LGALS9","PCDH9","exp"
"O00182","Q9Y2C9","LGALS9","TLR6","pred"
"O00182","P50591","LGALS9","TNFSF10","pred"
"O00182","P11047","LGALS9","LAMC1","pred"
"O00182","Q53GS9","LGALS9","USP39","exp"
"O00182","P15498","LGALS9","VAV1","pred"
"O00182","P21333","LGALS9","FLNA","pred"
