GeneA,GeneB,UniprotA,UniprotB
OTUD5,GPX4,Q96G74,P36969
GPX4,AKR1B1,P36969,P15121
GPX4,ALDOA,P36969,P04075
GPX4,ALDOC,P36969,P09972
GPX4,DUT,P36969,P33316
GPX4,ENO1,P36969,P06733
GPX4,ENO2,P36969,P09104
GPX4,ENO3,P36969,P13929
GPX4,FKBP1A,P36969,P62942
GPX4,GLRX2,P36969,Q9NS18
ERO1B,GPX4,Q86YB8,P36969
ETFA,GPX4,P13804,P36969
ETFB,GPX4,P38117,P36969
EZR,GPX4,P15311,P36969
FKBP2,GPX4,P26885,P36969
HINT1,GPX4,P49773,P36969
HSD17B10,GPX4,Q99714,P36969
IMPA2,GPX4,O14732,P36969
NUTF2,GPX4,P61970,P36969
PGAM4,GPX4,Q8N0Y7,P36969
SOD1,GPX4,P00441,P36969
SOD2,GPX4,P04179,P36969
TAGLN,GPX4,Q01995,P36969
TAGLN2,GPX4,P37802,P36969
TKT,GPX4,P29401,P36969
UCHL3,GPX4,P15374,P36969
VDAC1,GPX4,P21796,P36969
VDAC2,GPX4,P45880,P36969
GPX4,HSPE1,P36969,P61604
GPX4,MAPK13,P36969,O15264
GPX4,PRDX6,P36969,P30041
OTUB1,GPX4,Q96FW1,P36969
GPX4,ME1,P36969,P48163
GPX4,PIN1,P36969,Q13526
GPX4,PPIF,P36969,P30405
GPX4,PRDX2,P36969,P32119
GPX4,PRDX6,P36969,P30041
CEP170,GPX4,Q5SW79,P36969
GPX4,STIP1,P36969,P31948
GSTO2,GPX4,Q9H4Y5,P36969
ATOX1,GPX4,O00244,P36969
NDUFAB1,GPX4,O14561,P36969
IMPA2,GPX4,O14732,P36969
SCAMP3,GPX4,O14828,P36969
MAPK13,GPX4,O15264,P36969
BIRC5,GPX4,O15392,P36969
NDUFS7,GPX4,O75251,P36969
EED,GPX4,O75530,P36969
GPX5,GPX4,O75715,P36969
GABARAP,GPX4,O95166,P36969
STAU1,GPX4,O95793,P36969
SOD1,GPX4,P00441,P36969
ALDOA,GPX4,P04075,P36969
SOD2,GPX4,P04179,P36969
RPN2,GPX4,P04844,P36969
JUN,GPX4,P05412,P36969
ENO1,GPX4,P06733,P36969
DBI,GPX4,P07108,P36969
GPX1,GPX4,P07203,P36969
P4HB,GPX4,P07237,P36969
ENO2,GPX4,P09104,P36969
ALDOC,GPX4,P09972,P36969
UBC,GPX4,P0CG48,P36969
TPT1,GPX4,P13693,P36969
ETFA,GPX4,P13804,P36969
ENO3,GPX4,P13929,P36969
COX7A2,GPX4,P14406,P36969
AKR1B1,GPX4,P15121,P36969
EZR,GPX4,P15311,P36969
UCHL3,GPX4,P15374,P36969
GPX2,GPX4,P18283,P36969
ATF4,GPX4,P18848,P36969
VDAC1,GPX4,P21796,P36969
FBL,GPX4,P22087,P36969
GPX3,GPX4,P22352,P36969
EIF4B,GPX4,P23588,P36969
FKBP2,GPX4,P26885,P36969
TKT,GPX4,P29401,P36969
ERP29,GPX4,P30040,P36969
PRDX6,GPX4,P30041,P36969
PRDX5,GPX4,P30044,P36969
PRDX3,GPX4,P30048,P36969
PPP2R1A,GPX4,P30153,P36969
PPIF,GPX4,P30405,P36969
GSTT1,GPX4,P30711,P36969
YWHAB,GPX4,P31946,P36969
STIP1,GPX4,P31948,P36969
PRDX2,GPX4,P32119,P36969
DUT,GPX4,P33316,P36969
CTNNA1,GPX4,P35221,P36969
PPP1CC,GPX4,P36873,P36969
GPX4,PSMD2,P36969,Q13200
GPX4,PGAM4,P36969,Q8N0Y7
GPX4,ERO1B,P36969,Q86YB8
GPX4,ME1,P36969,P48163
GPX4,RRAGA,P36969,Q7L523
GPX4,PSMC1,P36969,P62191
GPX4,SSR2,P36969,P43308
GPX4,TOMM7,P36969,Q9P0U1
GPX4,BCAP31,P36969,P51572
GPX4,GSTO2,P36969,Q9H4Y5
GPX4,ATP6V1F,P36969,Q16864
GPX4,RPL8,P36969,P62917
GPX4,CAP1,P36969,Q01518
GPX4,RPS4X,P36969,P62701
GPX4,-,P36969,
GPX4,GPX8,P36969,Q8TED1
GPX4,TAX1BP1,P36969,Q86VP1
GPX4,FOXM1,P36969,Q08050
GPX4,ILK,P36969,Q13418
GPX4,RNPEP,P36969,Q9H4A4
GPX4,RPS3A,P36969,P61247
GPX4,PIN1,P36969,Q13526
GPX4,OTUD5,P36969,Q96G74
GPX4,TRIM25,P36969,Q14258
GPX4,DLG4,P36969,P78352
GPX4,GPX7,P36969,Q96SL4
GPX4,HSPE1,P36969,P61604
GPX4,VDAC2,P36969,P45880
GPX4,GABARAPL2,P36969,P60520
GPX4,EIF3I,P36969,Q13347
GPX4,GLRX2,P36969,Q9NS18
GPX4,SNRPD2,P36969,P62316
GPX4,PRDX1,P36969,Q06830
GPX4,GPX6,P36969,P59796
GPX4,GSTA3,P36969,Q16772
GPX4,AARS,P36969,P49588
GPX4,RPL29,P36969,P47914
GPX4,AP2S1,P36969,P53680
GPX4,HINT1,P36969,P49773
GPX4,AP2M1,P36969,Q96CW1
GPX4,SKP1,P36969,P63208
GPX4,HSCB,P36969,Q8IWL3
GPX4,CEP170,P36969,Q5SW79
GPX4,PSME2,P36969,Q9UL46
GPX4,PFDN5,P36969,Q99471
GPX4,OTUB1,P36969,Q96FW1
GPX4,TXN2,P36969,Q99757
GPX4,NUTF2,P36969,P61970
GPX4,GSTM5,P36969,P46439
GPX4,ANP32B,P36969,Q92688
GPX4,FKBP1A,P36969,P62942
GPX4,GNG5,P36969,P63218
GPX4,HSD17B10,P36969,Q99714
GPX4,PSMA6,P36969,P60900
GPX4,FANCD2,P36969,Q9BXW9
GPX4,TAGLN,P36969,Q01995
GPX4,SSR4,P36969,P51571
GPX4,RPL15,P36969,P61313
GPX4,TAGLN2,P36969,P37802
GPX4,GSTO1,P36969,P78417
GPX4,MGST2,P36969,Q99735
GPX4,ETFB,P36969,P38117
CREB5,CREB5,Q02930,Q02930
CREB5,JUN,Q02930,P05412
CREB5,ATF7,Q02930,P17544
CREB5,ATF2,Q02930,P15336
CREB5,JUND,Q02930,P17535
CREB5,JUN,Q02930,P05412
CREB5,BACH1,Q02930,O14867
FOSL2,CREB5,P15408,Q02930
FOS,CREB5,P01100,Q02930
LGR4,CREB5,Q9BXB1,Q02930
TRIM23,CREB5,P36406,Q02930
COL8A1,CREB5,P27658,Q02930
FOS,CREB5,P01100,Q02930
FOSL2,CREB5,P15408,Q02930
KIFC3,CREB5,Q9BVG8,Q02930
KRT15,CREB5,P19012,Q02930
MDFI,CREB5,Q99750,Q02930
BRCA1,CREB5,P38398,Q02930
TRAF2,CREB5,Q12933,Q02930
TRIP6,CREB5,Q15654,Q02930
FOSL1,CREB5,P15407,Q02930
RGS20,CREB5,O76081,Q02930
CREB5,SPRY1,Q02930,O43609
CREB5,SPRY2,Q02930,O43597
CREB5,RBPMS,Q02930,Q93062
CREB5,MTUS2,Q02930,Q5JR59
CREB5,EFEMP2,Q02930,O95967
CREB5,ADAMTSL4,Q02930,Q6UY14
CREB5,TSGA10,Q02930,Q9BZW7
CREB5,KRTAP4-12,Q02930,Q9BQ66
CREB5,KRTAP3-2,Q02930,Q9BYR7
CREB5,KRTAP9-2,Q02930,Q9BYQ4
CREB5,KRTAP9-4,Q02930,Q9BYQ2
CREB5,KRTAP4-2,Q02930,Q9BYR5
CREB5,RIMBP3,Q02930,Q9UFD9
CREB5,KRT40,Q02930,Q6A162
CREB5,MGAT5B,Q02930,Q3V5L5
CREB5,KRTAP10-7,Q02930,P60409
CREB5,KRTAP10-9,Q02930,P60411
CREB5,KRTAP10-1,Q02930,P60331
CREB5,KRTAP10-11,Q02930,P60412
CREB5,KRTAP10-5,Q02930,P60370
CREB5,KRTAP10-8,Q02930,P60410
CREB5,KRTAP10-3,Q02930,P60369
CREB5,NOTCH2NLA,Q02930,
CREB5,KRTAP5-6,Q02930,Q6L8G9
JUN,CREB5,P05412,Q02930
EWSR1,CREB5,Q01844,Q02930
JUN,CREB5,P05412,Q02930
LGALS13,CREB5,Q9UHV8,Q02930
KRTAP5-9,CREB5,P26371,Q02930
FOS,CREB5,P01100,Q02930
ARIH1,CREB5,Q9Y4X5,Q02930
CREB5,ATF2,Q02930,P15336
CREB5,BACH1,Q02930,O14867
JUNB,CREB5,P17275,Q02930
FOSL2,CREB5,P15408,Q02930
CREB5,ATF7,Q02930,P17544
MLLT6,CREB5,P55198,Q02930
BATF3,CREB5,Q9NR55,Q02930
PPP2R2D,CREB5,Q66LE6,Q02930
